entry,syllables
Aachen,2
aah,1
Aalborg,2
Aalesund,3
aalii,3
Aalst,1
Aalto,2
aar,1
Aarau,2
aardvark,2
aardwolf,2
Aargau,2
Aarhus,2
Aaron,2
Aaronic,3
Aaronical,4
Aaronite,3
aba,2
Aba,2
abaca,3
abaciscus,4
abacist,3
aback,2
Abaco,3
abacterial,5
abaculus,4
abacus,3
Abadan,3
Abaddon,3
abaft,2
Abagtha,3
Abailard,3
Abakan,3
abalone,4
abamp,2
abampere,3
abandon,3
abandoned,3
abandonee,4
abaptiston,4
abase,2
abased,2
abash,2
abashed,2
abasia,3
abatage,3
abate,2
abatement,3
abatis,3
abattage,3
abattoir,3
abaxial,4
abaya,3
abb,1
abba,2
Abba,2
abbacy,3
Abbado,3
Abbai,2
Abbasid,3
abbatial,3
abbess,2
Abbeville,3
Abbevillian,4
abbey,2
Abbey,2
Abbie,2
abbot,2
Abbot,2
Abbotsford,3
Abbott,2
Abboud,2
abbreviate,4
abbreviated,5
abbreviation,5
abbreviatory,6
Abby,2
abcoulomb,3
abd,1
Abderhalden,4
Abdias,3
abdicant,3
abdicate,3
abdication,4
abdomen,3
abdominal,4
abdominoplasty,6
abdominous,4
Abdon,2
abduce,2
abducens,3
abducent,3
abduct,2
abductee,3
abduction,3
abductor,3
Abe,1
abeam,2
abecedarian,6
abecedarium,6
abecedary,5
abed,2
Abednego,4
abegging,3
Abel,2
abele,2
abelia,4
Abelian,4
abelmosk,3
Abenaki,4
Abeokuta,5
Abercrombie,4
Aberdare,3
Aberdeen,3
Abernathy,4
aberrant,3
aberration,4
abessive,3
abet,2
abetalipoproteinemia,10
abettor,3
abeyance,3
abeyant,3
abfarad,3
Abgatha,3
abhenry,3
abhominable,5
abhor,2
abhorrence,3
abhorrent,3
Abiathar,4
Abib,2
abidance,3
abide,2
abiding,3
Abidjan,3
Abie,2
abient,3
abietate,4
abigail,3
Abigail,3
Abihu,3
Abilene,3
ability,4
Abimelech,4
Abingdon,3
Abington,3
Abinoam,4
abiogenesis,6
abiogenic,5
abiological,6
abiosis,4
abiotic,4
abiotrophy,5
abirritant,4
abirritate,4
Abishag,3
Abitibi,4
Abiu,3
abject,2
abjection,3
abjective,3
abjunction,3
abjuration,4
abjure,2
Abkhaz,2
Abkhazia,4
Abkhazian,4
ablactate,3
ablare,2
ablate,2
ablation,3
ablative,3
ablator,3
ablaut,2
ablaze,2
able,2
ableism,3
abloom,2
abluent,3
ablush,2
abluted,3
ablution,3
ably,2
abmho,2
abmodality,5
abn,1
Abnaki,3
abnegate,3
abnegation,4
Abner,2
abnormal,3
abnormalcy,4
abnormality,5
abnormalize,4
abnormity,4
abo,2
aboard,2
aboardage,3
abode,2
abohm,2
aboil,2
abolish,3
abolition,4
abolitionism,5
abolitionist,5
abolitionize,5
abolla,3
abomasum,4
abomasus,4
Abomey,3
abominable,5
abominate,4
abomination,5
aboon,2
aboral,3
aboriginal,5
aborigine,5
aborning,3
abort,2
aborticide,4
abortifacient,5
abortion,3
abortionist,4
abortive,3
abortus,3
aboudikro,4
abought,2
Aboukir,3
aboulia,4
abound,2
about,2
above,2
aboveboard,3
aboveground,3
abovementioned,4
abracadabra,5
abradant,3
abrade,2
Abraham,3
Abram,2
abranchiate,4
abraser,3
abrash,2
abrasion,3
abrasive,3
abraxas,3
abrazo,3
abreact,3
abreaction,4
abreast,2
abri,2
abridge,2
abridgment,3
abrin,2
abristle,3
abroach,2
abroad,2
abrogate,3
abrogation,4
abrupt,2
abruption,3
Abruzzi,3
abs,1
Absalom,3
Abscam,2
abscess,2
abscind,2
abscise,2
abscissa,3
abscission,3
abscond,2
abscondee,3
abscondence,3
abseil,2
absence,2
absent,2
absentee,3
absenteeism,4
absently,3
absinthe,2
absolute,3
absolutely,4
absolution,4
absolutism,4
absolutive,4
absolutize,4
absolutory,5
absolve,2
absonant,3
absorb,2
absorbance,3
absorbed,2
absorbefacient,5
absorbent,3
absorber,3
absorbing,3
absorptance,3
absorptiometer,6
absorption,3
absorptive,3
absorptivity,5
absquatulate,4
abstain,2
abstainer,3
abstemious,4
abstention,3
abstentionism,4
abstergent,3
abstersive,3
abstinence,3
abstract,2
abstracted,3
abstraction,3
abstractionism,4
abstractionist,4
abstractive,3
abstrict,2
abstriction,3
abstruse,2
abstrusity,4
absurd,2
absurdism,3
absurdist,3
absurdity,4
abubble,3
abuilding,3
Abuja,3
Abukir,3
abulia,4
Abumeron,4
Abuna,3
abundance,3
abundant,3
Abury,3
abusage,3
abuse,2
abusive,3
abut,2
abutilon,4
abutment,3
abuttal,3
abutter,3
abuzz,2
abvolt,2
abwatt,2
Abwehr,2
aby,2
Abydos,3
Abyla,3
abysm,2
abysmal,3
abyss,2
abyssal,3
Abyssinia,5
Abzug,2
acacia,3
academe,3
academese,4
academia,5
academic,4
academical,5
academician,5
academicism,5
academicize,5
academism,4
academize,4
Academus,4
academy,4
Acadia,4
Acadian,4
acajou,3
acalculia,5
acaleph,3
acanthaceous,4
acanthite,3
acanthocephalan,6
acanthocyte,4
acanthocytosis,6
acanthodian,5
acanthoid,3
acanthology,5
acanthopterygian,7
acanthous,3
acanthus,3
acapnia,4
Acapulco,4
acarbose,3
acardia,4
acari,3
acariasis,5
acaricide,4
acarid,3
acarine,3
Acarnania,5
acaroid,3
acarology,5
acarophobia,6
acarpelous,4
acarpous,3
acarus,3
acatalectic,5
acatalepsy,5
acaudal,3
acaulescent,4
acausal,3
Accad,2
Accadian,4
accede,2
accelerando,5
accelerant,4
accelerate,4
acceleration,5
accelerationist,6
accelerative,5
accelerator,5
accelerogram,5
accelerograph,5
accelerometer,6
accent,2
accentor,3
accentual,4
accentuate,4
accentuation,5
accentuator,5
accept,2
acceptable,4
acceptance,3
acceptancy,4
acceptant,3
acceptation,4
accepted,3
acceptee,3
accepter,3
accepting,3
acceptive,3
acceptor,3
access,2
accessary,4
accessible,4
accession,3
accessorial,5
accessorius,5
accessorize,4
accessory,4
accessway,3
acciaccatura,5
accidence,3
accident,3
accidental,4
accidentalism,5
accidie,3
accipiter,4
accipitral,4
accipitrine,4
Accius,3
acclaim,2
acclamation,4
acclimate,3
acclimatize,4
acclivity,4
accolade,3
accolated,4
accommodate,4
accommodating,5
accommodation,5
accommodationist,6
accommodative,5
accommodator,5
accompaniment,5
accompanist,4
accompany,4
accompanyist,5
accomplice,3
accomplish,3
accomplished,3
accomplishment,4
accord,2
accordance,3
accordant,3
accordatura,5
according,3
accordingly,4
accordion,4
accordionist,5
accost,2
accosted,3
accouchement,3
accoucheur,3
account,2
accountability,6
accountable,4
accountancy,4
accountant,3
accounting,3
accouplement,4
accouter,3
accouterment,4
accoutre,3
accra,2
Accra,2
accredit,3
accredited,4
accrescence,3
accrescent,3
accrete,2
accretion,3
accroach,2
accrual,3
accrue,2
acculturate,4
acculturation,5
acculturationist,6
acculturize,4
accumbent,3
accumulate,4
accumulation,5
accumulative,5
accumulator,5
accuracy,4
accurate,3
accurize,3
accursed,3
accusal,3
accusation,4
accusatival,5
accusative,4
accusatorial,6
accusatory,5
accuse,2
accused,2
accuser,3
accustom,3
accustomed,3
Accutane,3
ace,1
acebutolol,5
acedia,4
Aceldama,4
acellular,4
acenesthesia,5
acentric,3
acephalous,4
acephate,3
acequia,3
aceramic,4
acerate,3
acerb,2
acerbate,3
acerbic,3
acerbity,4
acerola,4
acerose,3
acerous,3
acervate,3
acervulus,4
acescent,3
acesodyne,4
acetabuliform,6
acetabulum,5
acetal,3
acetaldehyde,5
acetaldol,4
acetamide,4
acetaminophen,6
acetanilide,5
acetanisidine,6
acetate,3
acetazolamide,6
acetic,3
acetify,4
acetimeter,5
acetin,3
acetobacter,5
acetoin,4
acetometer,5
acetone,3
acetonemia,6
acetonitrile,5
acetonuria,6
acetophenetidin,7
acetophenone,5
acetostearin,6
acetous,3
acetum,3
acetyl,3
acetylandromedol,7
acetylaniline,6
acetylate,4
acetylbenzene,5
acetylcholine,5
acetylcholinesterase,8
acetylcysteine,6
acetylene,4
acetylic,4
acetylide,4
acetylize,4
acetylmethylcarbinol,8
acetylsalicylate,7
ach,1
Achab,2
Achad,2
Achaea,3
Achaean,3
Achaemenes,4
Achaemenian,5
Achaemenid,4
achalasia,4
Achan,2
Achates,3
Achaz,2
ache,1
Achebe,3
acheilary,4
achene,2
Achenese,3
Achernar,3
Acheron,3
Acheson,3
Acheulean,4
achieve,2
achievement,3
achilary,4
Achill,2
achillea,4
Achilles,3
Achimaas,4
Achimelech,4
achimenes,4
Achinese,3
aching,2
Achinsk,2
achiote,4
achiral,3
Achish,2
Achitophel,4
achkan,2
achlamydate,4
achlamydeous,5
achlorophyllous,5
acholia,4
acholuria,5
achondrite,3
achondroplasia,5
achoo,2
achroite,3
achromat,3
achromate,3
achromatic,4
achromaticity,6
achromatism,4
achromatize,4
achromatophil,5
achromatophilia,7
achromatopsia,6
achromatous,4
achromic,3
achromobacter,5
Achromycin,4
Achsah,2
Achtung,2
achy,2
acicula,4
acicular,4
aciculate,4
aciculum,4
acid,2
acidanthera,5
acidic,3
acidify,4
acidimeter,5
acidimetry,5
acidity,4
acidize,3
acidogenic,5
acidolysis,5
acidophil,4
acidophilic,5
acidosis,4
acidulant,4
acidulate,4
acidulent,4
acidulous,4
aciduric,4
acidy,3
acierate,4
aciform,3
acinaceous,4
acinaciform,5
acinarious,5
aciniform,4
